TIME	20170603_W01	20170603_W02	20170603_W03	20170603_W05	20170603_W06	20170605_W06	20170605_W07	20170605_W08	20170605_W09	20170605_W10	20170605_W11	20180415_780_W06	20180415_780_W07	20180415_780_W08	20180415_780_W09	20180415_780_W10	20180421_DB_W07	20180421_DB_W08	20180421_DB_W09	20180421_DB_W10	20180421_DB_W11	20180421_DB_W12	20180421_NLO_W05	20180421_NLO_W06	20180421_NLO_W08	20180422_780_W06	20180422_780_W07	20180422_780_W08	20180422_780_W09	20180429_DB_W06	20180429_DB_W08	20180505_780_W05	20180505_780_W06	20180505_780_W07
37	4600.213	5625.07	4781.708	4372.661	6627.507	2643.013	2128.013	2321.221	1910.58	3597.729	2870.959	8503.066	7528.887	7319.252	1352.099	7239.347	2571.759	1243.24	5547.343	3518.829	6353.116	7339.847	10892.358	2584.307	10369.452	4589.51	6291.302	1530.455	7672.361	3395.083	7453.903	5481.799	2021.648	1400.609
38	4571.384	5795.386	4860.282	4371.164	6606.39	2642.408	2149.532	2336.829	1893.927	3712.048	2794.337	8732.947	7644.822	7209.668	1350.454	7086.019	2526.273	1234.46	5428.139	3528.987	6308.366	7104.807	10930.379	2584.296	10064.047	4477.891	6155.922	1490.577	7664.795	3414.799	7414.602	5812.825	2001.143	1444.349
39	4582.279	6105.402	4958.959	4369.822	6623.99	2607.398	2188.86	2351.752	1881.583	3822.731	2726.497	8932.663	7839.007	7414.467	1349.899	6926.785	2465.463	1216.406	5365.443	3486.322	6170.337	6957.432	10646.092	2578.439	9857.646	4560.174	6280.616	1474.523	7778.877	3443.981	7505.673	5806.062	1945.202	1418.263
40	4597.223	6366.354	5009.173	4386.041	6593.61	2594.237	2250.782	2344.03	1879.606	3900.263	2678.668	8964.502	8007.591	7714.544	1388.584	6746.374	2451.165	1202.804	5447.265	3419.466	6003.296	6955.692	10272.664	2566.453	9721.805	4652.087	6453.616	1455.833	7638.829	3472.892	7737.985	5907.195	1982.684	1443.839
41	4628.805	6698.442	5079.953	4396.639	6593.098	2559.351	2246.365	2322.936	1917.837	3972.027	2664.974	8794.604	7985.638	8030.795	1435.227	6494.382	2432.191	1188.697	5691.553	3317.725	5856.391	7089.023	9957.938	2601	10003.309	4875.106	6788.824	1460.991	7552.396	3506.247	8157.5	5837.804	2005.684	1434.236
42	4653.416	6988.079	5172.235	4397.023	6479.675	2540.563	2251.798	2314.123	1969.581	4037.983	2700.311	8671.203	8061.137	8633.97	1509.912	6385.825	2485.632	1167.414	6043.339	3186.767	5713.064	7409.688	9665.755	2675.127	10394.403	5243.646	7412.281	1538.709	7571.496	3599.184	8637.292	5616.377	2115.456	1460.971
43	4684.078	7138.894	5245.582	4416.118	6438.953	2541.954	2236.497	2318.613	2059.596	4084.388	2787.128	8288.803	7914.72	8972.188	1562.409	6233.36	2566.916	1160.813	6534.8	3064.933	5705.726	7890.448	9337.921	2727.313	11079.212	5527.554	7536.912	1568.222	7264.425	3706.267	9195.781	5547.85	2284.059	1508.359
44	4693.961	7257.702	5292.585	4396.854	6447.525	2543.286	2282.943	2309.131	2156.021	4131.691	2910.574	8231.729	8082.427	9477.474	1673.344	6459.89	2700.228	1166.736	7024.707	2981.983	5846.374	8538.82	9498.904	2859.572	11901.961	5960.381	7889.977	1640.396	7249.516	3838.046	9700.993	5349.744	2394.081	1556.373
45	4743.44	7188.258	5335.312	4375.184	6414.549	2598.438	2322.969	2335.409	2244.592	4131.755	3057.882	8083.521	8004.29	9540.674	1715.303	6671.312	2881.458	1192.271	7495.212	2945.949	6157.792	9217.365	9736.354	2995.9	13060.717	6304.363	8051.879	1723.497	7227.922	3959.467	10069.247	5279.952	2559.966	1669.943
46	4748.165	7121.781	5397.305	4383.182	6485.553	2650.779	2381.771	2370.698	2307.886	4161.186	3183.409	8217.625	8174.187	9763.948	1785.753	7258.852	3082.498	1217.766	7890.086	2989.701	6549.845	9819.356	10465.819	3164.22	13895.688	6637	8279.478	1807.298	7543.348	4095.132	10296.275	5361.35	2714.363	1787.416
47	4739.822	6966.874	5464.113	4385.696	6583.802	2781.654	2375.084	2421.42	2372.06	4188.662	3304.055	8678.615	8478.109	9721.185	1830.521	7788.226	3280.276	1238.908	8125.701	3113.949	7103.172	10346.168	11312.151	3329.642	14436.75	6992.881	8452.033	1895.595	8085.622	4224.339	10335.755	5510.716	2756.753	1938.131
48	4764.927	6773.946	5486.508	4401.127	6780.226	2839.243	2438.019	2491.729	2382.219	4243.783	3389.997	9116.763	8692.475	9468.906	1838.657	8289.956	3462.746	1285.655	8210.733	3333.641	7670.302	10690.119	12193.299	3513.496	14845.865	7032.81	8251.226	1885.547	8450.008	4318.772	10268.118	5953.106	2869.453	2113.984
49	4782.12	6692.251	5587.51	4445.599	6969.234	2947.13	2504.33	2570.589	2376.416	4336.134	3436.558	9843.322	9199.485	9232.764	1852.06	8639.396	3588.1	1330.802	8194.794	3634.279	8245.671	10836.786	13029.736	3654.179	14998.854	7077.344	8231.623	1901.577	9129.728	4402.296	10235.973	6299.696	2825.947	2250.323
